N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
146,현대차우,"80,000",200,+0.25%,"5,000","19,485","24,357",57.72,"27,149",3.57,N/A
147,영원무역,"43,650",400,-0.91%,500,"19,342","44,311",30.23,"40,437",3.41,14.71
148,TIGER 미국나스닥100,"63,610",140,-0.22%,0,"19,083","30,000",0.20,"87,709",N/A,N/A
149,DB하이텍,"42,950",500,-1.15%,"5,000","19,069","44,399",26.25,"260,130",3.15,33.35
150,대우건설,"4,585",5,-0.11%,"5,000","19,056","415,623",12.64,"920,531",3.80,16.47
151,삼천리,"458,000","2,000",+0.44%,"5,000","18,572","4,055",14.51,"29,414",23.37,4.52
152,TIGER 200,"31,865",255,-0.79%,0,"18,482","58,000",3.39,"1,119,665",N/A,N/A
153,대성홀딩스,"114,000",500,+0.44%,"1,000","18,342","16,089",5.18,"47,296",114.69,3.61
154,오뚜기,"452,500","5,000",-1.09%,"5,000","18,135","4,008",11.21,"2,253",11.65,8.91
155,하이트진로,"25,250",350,-1.37%,"5,000","17,709","70,134",13.50,"112,047",15.59,6.62
156,코스모신소재,"57,200",300,-0.52%,"1,000","17,532","30,651",6.73,"240,209",61.24,9.42
157,효성티앤씨,"404,500","7,000",+1.76%,"5,000","17,505","4,328",8.52,"60,261",11.50,76.22
158,LIG넥스원,"79,400",500,-0.63%,"5,000","17,468","22,000",12.91,"420,572",9.52,14.63
159,효성첨단소재,"377,500",500,+0.13%,"5,000","16,912","4,480",6.84,"20,165",9.34,54.69
160,TIGER 미국S&P500,"12,410",5,+0.04%,0,"16,512","133,050",0.15,"449,431",N/A,N/A
161,쌍용차,"8,760",0,0.00%,"5,000","16,377","186,956",24.60,0,-2.47,305.77
162,대웅제약,"140,000","4,000",-2.78%,"2,500","16,221","11,587",7.12,"68,206",19.72,4.39
163,LS ELECTRIC,"53,100",0,0.00%,"5,000","15,930","30,000",12.25,"56,658",16.23,5.86
164,현대두산인프라코어,"7,790",60,-0.76%,"1,000","15,406","197,763",12.37,"1,792,624",3.35,24.63
165,한전KPS,"33,800",300,-0.88%,200,"15,210","45,000",5.45,"77,686",23.20,9.12
166,롯데칠성,"160,000","2,500",-1.54%,500,"14,846","9,279",13.11,"19,219",13.50,9.96
167,녹십자,"127,000","3,500",-2.68%,"5,000","14,842","11,687",22.09,"30,896",13.67,10.30
168,효성,"70,400",100,-0.14%,"5,000","14,834","21,071",4.30,"36,916",12.76,18.04
169,현대백화점,"63,100",400,+0.64%,"5,000","14,767","23,402",24.53,"61,804",7.03,4.36
170,두산,"89,200",700,+0.79%,"5,000","14,739","16,524",7.43,"134,811",-18.02,11.08
171,현대위아,"53,100",500,-0.93%,"5,000","14,441","27,195",10.60,"72,105",7.05,1.96
172,TIGER 미국필라델피아반도체나스닥,"9,225",50,-0.54%,0,"14,400","156,100",0.18,"801,641",N/A,N/A
173,롯데정밀화학,"55,700",500,-0.89%,"5,000","14,371","25,800",19.88,"37,512",4.68,30.43
174,현대일렉트릭,"39,100",600,+1.56%,"5,000","14,094","36,047",14.55,"397,791",28.71,-5.08
175,금양,"24,200",550,-2.22%,500,"14,048","58,050",2.10,"976,347",79.87,13.57
176,SK케미칼,"80,100",800,-0.99%,"5,000","13,820","17,254",14.69,"35,163",7.52,11.19
177,DL이앤씨,"35,650",300,+0.85%,"5,000","13,794","38,694",21.73,"177,700",3.17,N/A
178,LX인터내셔널,"33,800",350,-1.02%,"5,000","13,101","38,760",29.97,"181,487",2.21,22.49
179,DGB금융지주,"7,710",130,-1.66%,"5,000","13,041","169,146",44.71,"533,127",2.72,9.63
180,동국제강,"13,500",0,0.00%,"5,000","12,883","95,433",25.29,"257,862",1.76,23.41
181,한국앤컴퍼니,"13,550",50,-0.37%,500,"12,864","94,935",9.01,"42,779",5.37,5.53
182,한미반도체,"13,200",0,0.00%,100,"12,849","97,339",5.06,"232,738",10.46,34.59
183,DL,"61,300",100,+0.16%,"5,000","12,846","20,956",9.87,"39,355",34.61,26.52
184,TIGER 미국테크TOP10 INDXX,"8,360",50,-0.59%,0,"12,711","152,050",0.24,"469,424",N/A,N/A
185,LX세미콘,"77,500",200,+0.26%,500,"12,605","16,264",28.12,"55,849",4.35,44.49
186,솔루스첨단소재,"35,500","1,300",+3.80%,100,"12,464","35,111",5.13,"378,238",-806.82,4.00
187,코오롱인더,"44,900",350,-0.77%,"5,000","12,356","27,519",18.02,"105,628",8.21,8.20
188,KODEX 삼성그룹,"8,850",30,-0.34%,0,"12,160","137,400",0.04,"149,288",N/A,N/A
189,KBSTAR 200,"32,015",240,-0.74%,0,"12,134","37,900",0.02,"214,922",N/A,N/A
190,F&F홀딩스,"30,900",150,+0.49%,500,"12,086","39,114",0.20,"217,522",10.18,153.88
191,제주항공,"15,650",600,+3.99%,"1,000","12,050","76,994",2.02,"808,553",-3.75,-135.83
192,GKL,"19,400",250,+1.31%,500,"12,000","61,856",5.47,"345,247",-24.90,-26.04
193,현대엘리베이,"29,350",250,-0.84%,"5,000","11,979","40,815",29.26,"56,450",8.36,10.62
194,대한유화,"183,500","1,000",+0.55%,"5,000","11,928","6,500",5.08,"65,921",-15.85,7.64
195,동원시스템즈,"41,100",600,-1.44%,"5,000","11,915","28,991",13.41,"16,722",25.46,6.95
196,한샘,"50,600","1,750",+3.58%,"1,000","11,908","23,534",14.76,"115,831",178.80,9.10
197,현대건설기계,"59,800",900,-1.48%,"5,000","11,781","19,701",18.79,"151,672",11.82,8.92
198,TIGER 2차전지테마,"17,995",290,-1.59%,0,"11,769","65,400",0.06,"552,477",N/A,N/A
199,에스엘,"24,900",350,-1.39%,500,"11,566","46,449",13.92,"123,993",9.36,6.63
200,일진하이솔루스,"31,450",250,-0.79%,500,"11,420","36,313",1.69,"31,375",125.80,4.97
